stop_id,stop_name,coordinates
117,national medical center,"24.846442029331417, 67.05512452846797"
118,gora qabristan,"24.85568998260118, 67.05128919420825"
119,jutt land,"24.861197704243715, 67.04160429841781"
120,lines area,"24.860254945854486, 67.03984935567753"
121,army public school,"24.860004150757575, 67.03848921543432"
122,lucky star saddar,"24.857084086791133, 67.03336860326856"
123,hawksbay,"24.86285072313967, 66.84950353574726"
124,mauripur,"24.87831564331742, 66.88968298874173"
125,cmh malir cantt,"24.948645075467628, 67.21454475371682"
126,tank chowk,"24.91233008316545, 67.18598096296459"
127,model mor,"24.90346827084451, 67.18183189984778"
128,jinnah ave,"24.903288315030686, 67.18178708652594"
129,airport,"24.885481307656374, 67.16811394088266"
130,dha phase 1,"24.838762945506286, 67.06432943387068"
131,bahria town,"25.071342827766994, 67.30543784013017"
132,dumba goth,"24.97593778680011, 67.26939843990164"
133,toll plaza,"24.982544105940846, 67.22784239960463"
134,baqai university,"24.984783921304025, 67.2134413676329"
135,malir cantt gate 5,"24.94754697325186, 67.18207883775409"
136,malir cantt gate 6,"24.934060688985774, 67.17698334808605"
137,rim jhim tower,"24.94014576822862, 67.16029032489374"
138,safoora chowrangi,"24.9390730390366, 67.15629534892105"
139,mausamiyat chowrangi,"24.93702740024062, 67.1445982239907"
140,kamran chowrangi,"24.923692414456042, 67.13782735168442"
141,darul sehat hospital,"24.91338968005416, 67.12715524873381"
142,johar chowrangi,"24.91197232396284, 67.12564325748558"
143,millennium mall,"24.901418152527178, 67.11612074481377"
144,dalmia road,"24.894660940152864, 67.08969536042268"
145,bahria university,"24.894050650335434, 67.08785134368156"
146,agha khan hospital,"24.890420079588555, 67.0724739437337"
147,liaquat national hospital,"24.889811650640365, 67.06841251655435"
148,pib colony,"24.88805323594272, 67.05924508843165"
149,jail chowrangi,"24.884829623532088, 67.05702605267794"
150,dawood engineering university,"24.879114392765945, 67.04713948925635"
151,islamia college,"24.864595047725373, 67.03508037393108"
152,people secretariat chowrangi,"24.876750864916584, 67.04341287086365"
153,jamali pull,"24.973288524015288, 67.11836146908084"
154,new sabzi mandi,"24.993273820628744, 67.15634601534256"
155,al asif,"24.953060015583205, 67.09536060285764"
156,dha city,"25.03796902476528, 67.44663285614678"
157,gurumandir,"24.881322584505153, 67.03811539829937"
158,lasbela,"24.894895967018183, 67.03078339829845"
159,4k chowrangi,"25.004846773687, 67.06460498597133"
160,zainab market,"24.855461471743354, 67.02825454697488"
161,abdullah chowk,"25.02316572213315, 67.06349466258239"
162,karimi chowrangi,"25.01121128471089, 67.06423665509257"
163,2 mint chowrangi,"24.99849961204634, 67.06500266735345"
164,ayesha complex,"24.99621070005884, 67.06516085939982"
165,erum shopping,"24.95845021955975, 67.06164583995522"
166,hyderi,"24.937256794547665, 67.04290694358573"
167,nazimabad no 7,"24.918536442031847, 67.03147719691809"
168,nazimabad no 6,"24.91504671824795, 67.03135998011602"
169,annu bhai park,"24.916981746532667, 67.0314222331644"
170,model park,"24.90491661807386, 67.03098241705752"
171,nazimabad no 1,"24.899802054117195, 67.0305046677642"
